SensorSweep starting
STA;SR61;SD35;IR61;ID53;SA0;SB0;END;
STA;SR81;SD68;IR81;ID93;SA13;SB3;END;
STA;SR101;SD68;IR101;ID80;SA2;SB2;END;
STA;SR121;SD116;IR121;ID87;SA0;SB0;END;
STA;SR141;SD30;IR141;ID196;SA8;SB1;END;
STA;SR161;SD223;IR161;ID373;SA1;SB0;END;
STA;SR179;SD337;IR179;ID373;SA10;SB1;END;
STA;SR159;SD30;IR159;ID275;SA2;SB2;END;
STA;SR139;SD193;IR139;ID140;SA9;SB2;END;
STA;SR119;SD312;IR119;ID225;SA0;SB0;END;
STA;SR99;SD66;IR99;ID100;SA3;SB4;END;
STA;SR79;SD68;IR79;ID104;SA13;SB3;END;
STA;SR59;SD48;IR59;ID47;SA1;SB3;END;
STA;SR39;SD25;IR39;ID22;SA1;SB0;END;
STA;SR19;SD129;IR19;ID62;SA1;SB3;END;
STA;SR2;SD38;IR2;ID128;SA0;SB23;END;
STA;SR22;SD76;IR22;ID34;SA0;SB2;END;
STA;SR42;SD38;IR42;ID21;SA7;SB3;END;
STA;SR62;SD35;IR62;ID54;SA11;SB1;END;
STA;SR82;SD68;IR82;ID83;SA4;SB9;END;
STA;SR102;SD71;IR102;ID83;SA0;SB2;END;
STA;SR122;SD505;IR122;ID92;SA4;SB4;END;
STA;SR142;SD20;IR142;ID162;SA2;SB0;END;
STA;SR162;SD200;IR162;ID254;SA0;SB0;END;
STA;SR178;SD63;IR178;ID515;SA4;SB3;END;
STA;SR158;SD30;IR158;ID218;SA0;SB0;END;
STA;SR138;SD279;IR138;ID139;SA0;SB1;END;
STA;SR118;SD502;IR118;ID78;SA0;SB0;END;
STA;SR98;SD66;IR98;ID96;SA11;SB3;END;
STA;SR78;SD60;IR78;ID91;SA3;SB2;END;
STA;SR58;SD25;IR58;ID47;SA5;SB6;END;
STA;SR38;SD20;IR38;ID22;SA6;SB1;END;
STA;SR18;SD91;IR18;ID78;SA3;SB4;END;
STA;SR3;SD35;IR3;ID133;SA20;SB20;END;
STA;SR23;SD73;IR23;ID33;SA16;SB0;END;
STA;SR43;SD25;IR43;ID20;SA22;SB11;END;
STA;SR63;SD38;IR63;ID56;SA3;SB0;END;
STA;SR83;SD68;IR83;ID80;SA0;SB0;END;
STA;SR103;SD160;IR103;ID83;SA2;SB5;END;
STA;SR123;SD350;IR123;ID95;SA0;SB6;END;
STA;SR143;SD33;IR143;ID145;SA0;SB0;END;
STA;SR163;SD43;IR163;ID196;SA6;SB4;END;
STA;SR177;SD43;IR177;ID299;SA1;SB0;END;
STA;SR157;SD30;IR157;ID193;SA15;SB1;END;
STA;SR137;SD452;IR137;ID133;SA5;SB6;END;
STA;SR117;SD68;IR117;ID60;SA5;SB4;END;
STA;SR97;SD60;IR97;ID90;SA0;SB3;END;
STA;SR77;SD43;IR77;ID110;SA0;SB4;END;
STA;SR57;SD25;IR57;ID45;SA0;SB0;END;
STA;SR37;SD22;IR37;ID23;SA5;SB0;END;
STA;SR17;SD48;IR17;ID146;SA2;SB0;END;
STA;SR4;SD30;IR4;ID140;SA0;SB0;END;
STA;SR24;SD73;IR24;ID35;SA20;SB0;END;
STA;SR44;SD35;IR44;ID23;SA0;SB0;END;
STA;SR64;SD35;IR64;ID57;SA0;SB3;END;
STA;SR84;SD71;IR84;ID76;SA6;SB2;END;
STA;SR104;SD345;IR104;ID77;SA4;SB2;END;
STA;SR124;SD487;IR124;ID97;SA1;SB10;END;
STA;SR144;SD33;IR144;ID146;SA5;SB2;END;
STA;SR164;SD68;IR164;ID204;SA0;SB0;END;
STA;SR176;SD33;IR176;ID328;SA7;SB0;END;
STA;SR156;SD33;IR156;ID190;SA0;SB0;END;
STA;SR136;SD73;IR136;ID135;SA0;SB2;END;
STA;SR116;SD99;IR116;ID75;SA2;SB0;END;
STA;SR96;SD66;IR96;ID90;SA0;SB0;END;
STA;SR76;SD35;IR76;ID104;SA10;SB8;END;
STA;SR56;SD10;IR56;ID41;SA5;SB3;END;
STA;SR36;SD139;IR36;ID23;SA0;SB0;END;
STA;SR16;SD30;IR16;ID151;SA3;SB2;END;
STA;SR5;SD22;IR5;ID146;SA4;SB3;END;
STA;SR25;SD132;IR25;ID30;SA0;SB0;END;
STA;SR45;SD38;IR45;ID27;SA0;SB0;END;
STA;SR65;SD38;IR65;ID58;SA0;SB9;END;
STA;SR85;SD73;IR85;ID74;SA0;SB10;END;
STA;SR105;SD76;IR105;ID82;SA3;SB4;END;
STA;SR125;SD553;IR125;ID97;SA0;SB0;END;
STA;SR145;SD30;IR145;ID139;SA0;SB8;END;
STA;SR165;SD101;IR165;ID161;SA8;SB0;END;
STA;SR175;SD25;IR175;ID336;SA6;SB0;END;
STA;SR155;SD33;IR155;ID193;SA0;SB0;END;
STA;SR135;SD439;IR135;ID139;SA5;SB3;END;
STA;SR115;SD86;IR115;ID90;SA2;SB1;END;
STA;SR95;SD66;IR95;ID96;SA11;SB5;END;
STA;SR75;SD35;IR75;ID94;SA7;SB1;END;
STA;SR55;SD17;IR55;ID42;SA0;SB2;END;
STA;SR35;SD30;IR35;ID23;SA6;SB5;END;
STA;SR15;SD35;IR15;ID151;SA8;SB4;END;
STA;SR6;SD20;IR6;ID146;SA0;SB0;END;
STA;SR26;SD73;IR26;ID28;SA2;SB1;END;
STA;SR46;SD38;IR46;ID31;SA0;SB1;END;
STA;SR66;SD35;IR66;ID61;SA9;SB2;END;
STA;SR86;SD60;IR86;ID76;SA9;SB2;END;
STA;SR106;SD73;IR106;ID77;SA2;SB3;END;
STA;SR126;SD546;IR126;ID96;SA0;SB2;END;
STA;SR146;SD30;IR146;ID157;SA7;SB3;END;
STA;SR166;SD38;IR166;ID218;SA1;SB0;END;
STA;SR174;SD195;IR174;ID345;SA6;SB4;END;
STA;SR154;SD33;IR154;ID139;SA0;SB0;END;
STA;SR134;SD571;IR134;ID111;SA11;SB2;END;
STA;SR114;SD88;IR114;ID80;SA2;SB3;END;
STA;SR94;SD66;IR94;ID93;SA2;SB2;END;
STA;SR74;SD22;IR74;ID92;SA7;SB0;END;
STA;SR54;SD15;IR54;ID40;SA1;SB0;END;
STA;SR34;SD27;IR34;ID24;SA0;SB0;END;
STA;SR14;SD132;IR14;ID146;SA0;SB0;END;
STA;SR7;SD20;IR7;ID146;SA5;SB0;END;
STA;SR27;SD25;IR27;ID28;SA15;SB4;END;
STA;SR47;SD35;IR47;ID31;SA5;SB1;END;
